price,rooms,lat,lng,square_total,square_living,square_kitchen,type_apartment,ceiling,renovation,view,type_house,floor_type,built_year,energy_efficiency,playground,sportsground,foundation_type,electrical_type,heating_type,hot_water_type,cold_water_type,sewerage_type,gas_type,ventilation_type,firefighting_type,drainage_type,floor_flat,floor_house
44500000,4,55.877738,37.580714,155.0,92.0,15.5,Вторичка,3.0,Дизайнерский,Во двор,Кирпичный,Железобетонные,2011.0,D,Есть,Отсутствует,Ленточный,Центральное,Индивидуальный тепловой пункт (ИТП),Закрытая с приготовлением горячей воды на ИТП,Центральное,Центральное,Отсутствует,Вытяжная вентиляция,Автоматическая,Внутренние водостоки,21.0,22.0
82000000,4,55.723587,37.527256,165.0,100.0,30.0,Вторичка,3.5,Без ремонта,На улицу и двор,Монолитный,Железобетонные,2011.0,B+,Есть,Есть,Сплошной,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,16.0,53.0
67000000,4,55.80664599999999,37.542958,155.0,90.0,25.0,Вторичка,3.0,Дизайнерский,На улицу и двор,Монолитный,Железобетонные,2008.0,D,Есть,Есть,Сплошной,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,31.0,32.0
47950000,4,55.742189,37.574992,98.0,62.0,12.0,Вторичка,3.3,Евроремонт,На улицу,Кирпичный,Железобетонные,1939.0,E,Отсутствует,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,2.0,12.0
95000000,4,55.71515,37.480022,140.0,91.0,12.0,Вторичка,3.6,Дизайнерский,На улицу,Монолитный,Железобетонные,2006.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточная вентиляция,Автоматическая,Внутренние водостоки,2.0,6.0
46500000,4,55.743578,37.41843400000001,133.0,82.0,18.0,Вторичка,4.0,Без ремонта,На улицу и двор,Монолитный,Железобетонные,2018.0,A,Есть,Есть,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ИТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарный кран,Смешанные,21.0,22.0
18500000,4,55.56699,37.577436,100.0,60.0,10.0,Вторичка,2.8,Евроремонт,На улицу и двор,Монолитный,Железобетонные,2003.0,Не присвоен,Отсутствует,Отсутствует,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,1.0,17.0
44099000,4,55.718572,37.446057,158.1,60.1,24.5,Вторичка,3.2,Дизайнерский,На улицу,Монолитный,Железобетонные,1999.0,Не присвоен,Есть,Есть,Бетонные столбы,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,11.0,17.0
97800000,4,55.715601,37.526268,160.0,86.2,16.5,Вторичка,2.95,Дизайнерский,Во двор,Монолитный,Железобетонные,2003.0,Не присвоен,Есть,Отсутствует,Свайный,Центральное,"Автономная котельная (крышная, встроенно-пристроенная)",Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,4.0,17.0
18000000,4,55.71854200000001,37.746759,104.0,63.6,10.9,Вторичка,2.64,Евроремонт,На улицу и двор,Панельный,Железобетонные,2007.0,Не присвоен,Отсутствует,Отсутствует,Свайный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,2.0,23.0
22000000,4,55.753529,37.816073,100.2,64.1,9.9,Вторичка,2.65,Евроремонт,Во двор,Панельный,Железобетонные,1990.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,12.0,22.0
13500000,4,55.49470600000001,37.553136,120.0,60.0,24.0,Вторичка,2.75,Евроремонт,На улицу и двор,Монолитный,Железобетонные,2015.0,B,Есть,Есть,Свайный,Центральное,Индивидуальный тепловой пункт (ИТП),Закрытая с приготовлением горячей воды на ИТП,Центральное,Центральное,Отсутствует,Вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,13.0,21.0
46500000,4,55.765812,37.487074,140.0,106.0,14.1,Вторичка,3.1,Дизайнерский,Во двор,Монолитный,Железобетонные,2009.0,C,Отсутствует,Отсутствует,Бетонные столбы,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,14.0,18.0
48000000,4,55.684975,37.49206,125.0,76.0,12.0,Вторичка,3.2,Евроремонт,На улицу и двор,Монолитный,Железобетонные,1998.0,Не присвоен,Отсутствует,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,14.0,19.0
49990000,4,55.765924,37.634982,145.9,99.0,16.0,Вторичка,4.0,Косметический,На улицу и двор,Кирпичный,Деревянные,1901.0,Не присвоен,Отсутствует,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,5.0,6.0
43350000,4,55.774745,37.548609,130.0,77.0,25.0,Вторичка,3.0,Евроремонт,На улицу и двор,Монолитный,Железобетонные,2010.0,Не присвоен,Отсутствует,Отсутствует,Бетонные столбы,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,14.0,40.0
85000000,4,55.732088,37.581433,135.0,86.0,11.0,Вторичка,3.2,Дизайнерский,Во двор,Кирпичный,Железобетонные,1993.0,Не присвоен,Отсутствует,Отсутствует,Ленточный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,4.0,5.0
32750000,4,55.776315,37.474731,137.0,84.0,18.0,Вторичка,3.0,Дизайнерский,На улицу,Монолитный,Железобетонные,2000.0,Не присвоен,Есть,Отсутствует,Ленточный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточная вентиляция,Автоматическая,Внутренние водостоки,10.0,17.0
50000000,4,55.738728,37.491521,127.0,91.0,15.0,Вторичка,3.0,Дизайнерский,На улицу,Панельный,Железобетонные,2012.0,B,Есть,Отсутствует,Свайный,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Вытяжная вентиляция,Автоматическая,Внутренние водостоки,14.0,22.0
83000000,4,55.832095,37.483957,223.0,150.0,20.0,Вторичка,3.3,Дизайнерский,На улицу,Монолитный,Железобетонные,2007.0,C,Есть,Отсутствует,Сплошной,Центральное,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,Внутренние водостоки,4.0,12.0
105000000,4,55.739428,37.638314,136.0,81.0,12.0,Вторичка,3.0,Евроремонт,На улицу и двор,Монолитный,Железобетонные,2009.0,A,Есть,Отсутствует,Свайный,Центральное,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Центральное,Отсутствует,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,2.0,7.0
